"Bid";"Author";"Year";"Title corrected";"General category";"Keywords";"Typology";"Period";"Subjects"
"TO00324714";"Berengo, Marino";1956;"La società veneta alla fine del Settecento : ricerche storiche";"history";"social";;"xviii";"STORIA. ITALIA NORDORIENTALE VENETO. 1718-1797; SOCIETA - Venezia <Repubblica> - Sec. 18.; VENEZIA <REPUBBLICA> - Condizioni economiche e sociali - Sec. 16.; Venezia - Storia moderna; Venezia (Repubblica) - Condizioni economiche e sociali - Sec. 18; Societa' - Venezia; XVIII"
"UBO1153991";"Musolino, Giovanni";1957;"La Basilica di San Marco in Venezia";"architecture";"churches";;;"Venezia-Basilica Marciana; Chiese - Venezia"
"SBL0484841";"Gasparetto, Astone";1958;"Il vetro di Murano dalle origini ad oggi";"arts";"crafts";;;"ARTE VETRARIA; ARTE VETRARIA - Murano <Venezia>; Arte vetraria; Vetro; Vetri-ceramica-maiolica; Murano; Murano - Vetri; Arte vetraria - Murano - Storia; Industria - Venezia ;"
"RAV0024688";;1959;"La pittura del Seicento a Venezia : catalogo della mostra";"arts";"painting";"catalogue";"xvii";"PITTURA. VENEZIA (PROV.); VENEZIA - Esposizioni - 1959; PITTURA - Sec. 17. - Esposizioni - Venezia - 1959; Esposizioni - Venezia - 1959; Venezia - Sec. 17"
"SBL0009635";"Davis, James Cushman";1962;"The decline of the Venetian nobility as a ruling class";"history";"elites; government";;"renaissance; xvii; xviii";"NOBILTA. VENEZIA <PROV.>; Nobiltà - Venezia <Repubblica> - Sec.16.-18.; Nobiltà - Venezia <Repubblica> - Sec. 16.-18.; nobilta` - Venezia (repubblica); XVI-XVIII"
"NAP0093738";"Bassi, Elena";1962;"Architettura del Sei e Settecento a Venezia";"architecture";;;"xvii; xviii";"ARCHITETTURA. Venezia; Architettura - Venezia - Sec. 17.-18.; Venezia-18. sec; Venezia-architettura; Venezia-17. sec; Architettura-moderna"
"SBL0253691";"Gallo, Luigi";1964;"Mestre, Marghera : Abazia S. Ilario";"history";"churches";;;"ORDINI RELIGIOSI MONASTERI; Abbazia di Sant'Ilario <Mestre, Venezia> - Storia"
"LO10780644";"Pallucchini, Rodolfo";1964;"Storia della pittura veneziana";"arts";"painting";;"middle ages";"PITTURA. VENEZIA (PROV.); Pittura veneziana - Storia - Sec. 14.; Pittura veneziana - Sec. 14.; Venezia - pittura; XIV"
"VEA0052905";"Martini, Egidio";1964;"La pittura veneziana del Settecento";"arts";"painting";;"xviii";"PITTURA. VENEZIA (PROV.); Pittura veneziana - Sec. 18.; Venezia - Pittura - Sec. 18; Arte - Venezia; XVIII"
"SBL0285889";"Zava Boccazzi, Franca";1965;"La basilica dei santi Giovanni e Paolo in Venezia";"architecture";"churches";;;"EDIFICI PER IL CULTO; VENEZIA - Chiesa dei Santi Giovanni e Paolo; Venezia - Basilica dei SS. Giovanni e Paolo; Venezia - chiese - architettura"
"PUV0228802";"Aymard, Maurice";1966;"Venise, Raguse et le commerce du blé pendant la seconde moitié du 16. siècle";"history";"economics; commerce";;"xvii";"COMMERCIO. Cereali; Commercio. Prodotti agricoli. Grano; GRANO - Commercio - Venezia <Repubblica> - Sec. 16.; GRANO - Commercio - Ragusa <Dalmazia> - Sec. 16.; Venezia e Ragusa - Relazioni economichee commerciali - Sec. 16.; Frumento - Commercio - Sec. 16.; Grano - Commercio - Venezia - Sec. 16.; Commercio - Venezia ; XVI"
"VEA0044983";"Colombo, Rosy";1966;"Lo Spectator e i giornali veneziani del Settecento";"history";"culture";;"xviii";"Giornali e giornalismo in Italia e in alcuni territori limitrofi. Venezia e provincia.; PERIODICI VENEZIA; GIORNALI; THE *SPECTATOR <PERIODICO> - Fortuna - Venezia - Sec. 18.; PERIODICI VENEZIANI - Sec. 18.; Giornali veneziani - Sec. 18.; Spectator; The spectator; Giornali - Italia - Sec. 18; Satira politica - Spectator - Venezia - Sec. 18.; Giornali veneziani; Spectator"
"SBL0540981";"Pignatti, Terisio";1966;"Le pitture di Paolo Veronese nella Chiesa di S. Sebastiano in Venezia";"arts";"painting; churches";;;"PITTURA IN ITALIA; PAOLO VERONESE - Affreschi - Venezia - Chiesa di San Sebastiano; PAOLO VERONESE - Pitture - Venezia - Chiesa di S. Sebastiano; Restauro-conservazione-tutela-catalogazione beni culturali; Veronese, Paolo <(P. Caliari, detto) ; 1528-1588>; Venezia-chiese; Venezia-storia"
"SBL0191721";"Lane, Frederic Chapin";1966;"Venice and history : the collected papers of Frederic C. Lane";"history";;;;"STORIA DELL'ITALIA NORD-ORIENTALE; VENEZIA <REPUBBLICA> - Storia; Venezia - Storia; Venezia (Repubblica) - Commercio"
"VEA0158720";"Gallo, Rodolfo";1967;"Il Tesoro di San Marco e la sua storia";"arts";"jewelry";;;"VENEZIA - Chiesa di San Marco - Tesoro"
"LO10769935";"Riccoboni, Alberto";1967;"Antonio Zanchi e la pittura veneziana del Seicento";"arts";"painting; individuals";;"xvii";"PITTURA VENEZIANA - Sec. 17.; ZANCHI, ANTONIO; Venezia-18. sec; Pittura-18. sec; Arte - Venezia; XVII"
"VIA0253878";"Tenenti, Alberto";1967;"Piracy and the decline of Venice : 1580-1615";"history";"social; politics";;"renaissance";"Guerra di corsa - Venezia <Repubblica> - Sec. 16.-17."
"SBL0188991";"edited with an introduction by Brian Pullan";1968;"Crisis and change in the Venetian economy in the sixteenth and seventeenth centuries";"history";"economics";;"renaissance; xvii";"SITUAZIONI E CONDIZIONI ECONOMICHE. VENEZIA (PROV.); Venezia <Repubblica> - Economia - Sec. 16.-17.; Venezia <Repubblica> - Economia - Sec. 16.-17.; Economia - Venezia ; XVI-XVII"
"SBL0084141";"Balestrieri, Lucio";1969;"Banche pubbliche e problemi monetari a Venezia nei secoli 16. e 17";"history";"economics; finance";;"renaissance; xvii";"MONETA CREDITO BANCHE BORSE; MONETA, CREDITO, BANCHE, BORSE; Banche - Venezia (Repubblica) - Sec. 16.-17.; BANCHE - Venezia - Sec. 16.-17.; Banche - Venezia ; XVI-XVII"
"VEA0020702";"Loredan, Alvise";1970;"Venezia e i suoi eroi";"history";"elites; myth";;;"Aristocrazia - Venezia - Storia"
"SBL0103568";"Cortelazzo, Manlio";1970;"L'influsso linguistico greco a Venezia";"history";"literature";;"middle ages; renaissance";"LINGUA ITALIANA. DIALETTI; Dialetti veneti - Venezia - Influssi della lingua greca - Sec.6.-15.; Dialetto veneziano - Studi; Linguaggio - Venezia - Influssi [della] Lingua greca"
"SBL0435198";"Muraro, Michelangelo";1970;"Palazzo Contarini a San Beneto";"architecture";"palaces";;;"EDIFICI DI ABITAZIONE; VENEZIA - Palazzo Contarini; Venezia - palazzi"
"SBL0372867";"Paolillo, Domenico Roberto";1970;"Il Palazzo Dolfin Manin a Rialto : storia di un'antica dimora veneziana";"architecture";"palaces";;;"EDIFICI DI ABITAZIONE; Venezia - Palazzo Dolfin Manin; Palazzo Dolfin Manin - Storia; Palazzo Dolfin Manin; Venezia - palazzi"
"RAV0050699";"Arslan, Edoardo";1970;"Venezia gotica : l'architettura civile gotica veneziana";"architecture";;;;"ARCHITETTURA. ITALIA; ARCHITETTURA GOTICA - Venezia; Architettura - Venezia"
"UFI0052414";"Bassi, Elena";1971;"Corpus Palladianum";"architecture";"individuals";;;"ARCHITETTURA. ITALIA; VENEZIA - Convento di Santa Maria della Carita; PALLADIO, ANDREA - Venezia - Convento di Santa Maria della Carita"
"VEA1072915";"Zanon Dal Bo, Angelo";1971;"Alvise Contarini mediatore per la Repubblica di Venezia nel Congresso di Vestfalia : (1643-1648";"history";"individuals; politics";;"xvii";"Contarini, Alvise"
"SBL0376903";"Sandri, Maria Grazia";1971;"Arte e vita ebraica a Venezia : 1516-1797";"arts";"jews";;"renaissance; xvii; xviii";"MINORANZE; Ebrei - Venezia - 1516-1797; Venezia-16. sec; Venezia-18. sec; Ebraismo; Venezia-17. sec; Jewish art and symbolism; Jews - Italy - Venice; Synagogue architecture - Venice; Ebrei - Venezia ; XVI-XVIII"
"VIA0080590";"Zolli, Paolo";1971;"L' influsso francese sul veneziano del 18. secolo";"history";"literature";;"xviii";"LINGUA ITALIANA. VARIANTI GEOGRAFICHE. Venezia; Francia; Venezia-18. sec; Linguaggio - Venezia; XIX"
"SBL0229217";"Pullan, Brian";1971;"Rich and poor in Renaissance Venice : the social institutions of a catholic state, to 1620";"history";"social";;"renaissance";"STRATIFICAZIONE SOCIALE (STRUTTURA SOCIALE); VENEZIA <REPUBBLICA>; ASSISTENZA SOCIALE - Venezia <Repubblica> - 1500-1620; Storia sociale - Venezia ; XV-XVII"
"RML0053006";"a cura di Maurizio Rosada";1972;"S. Maria Formosa";"history";"churches";"primary";;"CHIESA CATTOLICA ROMANA. ITALIA; VENEZIA - Chiesa di Santa Maria Formosa - Fonti archivistiche; Venezia; S.Maria Formosa; Venezia (repubblica) fonti"
"RAV0131555";"Kozakiewicz, Stefan";1972;"Bernardo Bellotto";"arts";"individuals; painting";;"xviii";"Bellotto, Bernardo <1722-1780>"
"SBL0469864";"Vittoria, Eugenio";1972;"I cavalli di Venezia";"arts";"monuments";;;"MONUMENTI COMMEMORATIVI; MONUMENTI COMMEMORATIVI; STATUE EQUESTRI; VENEZIA - Chiesa di San Marco - Cavalli - Storia; CHIESA DI SAN MARCO - Cavalli del pronao; MONUMENTI EQUESTRI; VENEZIA - Monumenti equestri"
"VEA0053810";"Gualdo, Girolamo";1972;"1650 Giardino di Cha Gualdo";"architecture";"urban";"primary";"xvii";"Giardini-giardinaggio e opere di verde-parchi; Veneto - Architettura; Architettura - Venezia"
"SBL0467008";"Alvise Zorzi";1972;"Venezia scomparsa";"history";;;;"Venezia; VENEZIA - Storia"
"BVE0201531";"Degenhart, Bernhard";1973;"Marino Sanudo und Paolino Veneto : Zwei Literaten des 14. Jahrhunderts in ihrer Wirkung auf Buchillustrierung und Kartographie in Venedig, Avignon und Neapel";"history";"individuals";;"renaissance";"SANUDO, MARINO <IL VECCHIO> - Opere - Manoscritti; SANUDO, MARINO <IL VECCHIO>; Paolino (Fra) da Venezia - Opere - Manoscritti; Paolino Veneto; Letteratura - Venezia; XIV"
"PUV0204386";"Olivato, Loredana";1974;"Provvedimenti della Repubblica Veneta per la salvaguardia del patrimonio pittorico nei secoli 17. e 18.";"history";"arts";;"xvii; xviii";"VENEZIA <REPUBBLICA>; PATRIMONIO ARTISTICO - Tutela - Venezia - Sec. 17.-18.; PATRIMONIO ARTISTICO - Tutela - Sec. 17.-18.; Venezia-18. sec; Venezia-17. sec; Legislazione - Venezia(Repubblica); XVII-XVIII"
"SBL0698647";"Beloudes, Giorgos";1974;"Das griechische Druck- und Verlagshaus Glikis in Venedig, 1670-1854 : Das griechische Buch zur Zeit der Türkenherrschaft";"history";"churches";;"xvii; xviii; xix";"Venezia - Libri greci - 1670-1854; ""Glikis"" - Casa Editrice; Venezia - Tipografia greca; Glykis; Stampa - Venezia - Sec. 17.-19.; Editoria - Venezia - Sec. 17.-19.; Editoria - Venezia; XVII-XIX"
"SBL0588203";"Sinding-Larsen, Staale";1974;"Christ in the Council Hall : studies in the religious iconography of the Venetian Republic";"arts";"painting; religion";;;"PITTURA IN ITALIA; PITTURA IN ITALIA; VENEZIA <REPUBBLICA>; VENEZIA - Palazzo ducale - Pitture; ICONOGRAFIA CRISTIANA; ICONOLOGIA; Arte - Venezia(Repubblica)"
"CFI0008730";"Marangoni, Giovanni";1974;"Le associazioni di mestiere nella Repubblica veneta : vittuaria, farmacia, medicina";"history";"social; guilds; crafts";;;"ORGANIZZAZIONE DELLA PRODUZIONE; VENEZIA - Corporazioni - Storia; Venezia-Arti e mestieri; Venezia-Scuole-confraternite; Venezia (Repubblica) - Corporazioni; Venezia (repubblica) - economia - storia"
"RAV0024676";"saggio introduttivo di Sergio Bettini";1974;"Venezia e Bisanzio : Venezia, Palazzo ducale, 8 giugno-30 settembre 1974";"arts";"politics";"catalogue";"middle ages";"; BELLE ARTI E ARTI DECORATIVE. 500-1199; Venezia; ARTE BIZANTINA - Venezia - Sec. 6.-14. - Esposizioni - Venezia - 1974; Esposizioni - Venezia - 1974; Venezia e Bisanzio; Venezia e Costantinopoli; Istanbul (Costantinopoli-Bisanzio); Impero d'Oriente; Venezia (Repubblica) e Impero d'Oriente; Esposizioni - Venezia - ""Venezia e Bisanzio"" - 1974; Venezia (Repubblica) e Impero d'Oriente - Esposizioni - 1974"
"MIL0216326";"Davis, James Cushman";1975;"A Venetian family and its fortune, 1500-1900 : the Dona and the conservation of their wealth";"history";"social; elites";;"renaissance; xvii; xviii; xix";"BIOGRAFIE GENERALI, GENEALOGIA, ARALDICA; VENEZIA - Storia; Famiglie veneziane; Aristocrazia - Venezia - Sec. 16.-20.; Donà <famiglia> - Sec. 16.-20."
"RAV0129033";"Favaro, Elena";1975;"L'Arte dei pittori in Venezia e i suoi statuti";"history";"social; guilds; painting";"primary";;"PITTURA IN ITALIA; PITTURA IN ITALIA; CORPORAZIONI; PITTORI; VENEZIA - Storia; VENEZIA <REPUBBLICA> - Arte dei pittori - Statuti - Storia; ARTE DEI PITTORI; Corporazioni - Pittori - Venezia - Medioevo; Venezia - Arti e Mestieri - Pittori; Arte - Venezia - Fonti"
"VEA0016377";"Franzoi, Umberto";1976;"Le chiese di Venezia";"architecture";"churches";;;"EDIFICI PER IL CULTO; EDIFICI PER IL CULTO; VENEZIA - Storia ecclesiastica; STORIA ECCLESIASTICA; Architettura; VENEZIA - Chiese; CHIESE; Venezia-chiese; Chiese - Venezia - Storia; Chiese veneziane"
"PUV0184411";"Rapp, Richard Tilden";1976;"Industry and economic decline in seventeenth-century Venice";"history";"economics; industry";;"xviii";"SITUAZIONI E CONDIZIONI ECONOMICHE. VENEZIA (PROV.); VENEZIA - Economia - Sec. 17.; VENEZIA <REPUBBLICA> - Politica economica - Sec. 17.; Venezia (Repubblica) - Economia - sec. 17.; Industria - Venezia ; XVII"
"LO10330035";"Gerulaitis, Leonardas Vytautas";1976;"booksing and publishing in fifteenth-century Venice";"history";"books";;"renaissance";"EDITORIA. VENEZIA; Incunaboli italiani - Studi; Stampa - Venezia - Sec.15. - Studi; Editoria - Venezia - Sec. 15.; Industria editoriale - Venezia - Sec. 15.; Editoria - Venezia; XV"
"PUV0242931";"Norwich, John Julius";1977;"Venice : the rise to empire";"history";"empire";;"middle ages";"VENEZIA - Storia; Venezia (Repubblica) - Storia - 727-1405; Venezia - storia; V-XV"
"VIA0180079";"Da Mosto, Andrea";1977;"I Dogi di Venezia : nella vita pubblica e privata";"history";"government; politics";;;"DOGI VENEZIANI; Dogi; Dogi veneziani - Storia; Venezia <Repubblica>; Venezia (repubblica) - dogi"
"RAV0085562";"Bouwsma, William J";1977;"Venezia e la difesa della liberta repubblicana : i valori del Rinascimento nell'eta della Controriforma";"history";"intellectual; politics; religion";;"renaissance";"VENEZIA (PROV.); RINASCIMENTO; CONTRORIFORMA; VENEZIA - Storia; VENEZIA <REPUBBLICA> - Storia - Sec. 15.-17.; Venezia(Repubblica) - Storia; XV-XVII"
"PUV1136637";"Baldo, Vittorio";1977;"Alunni, maestri e scuole in Venezia alla fine del 16. secolo";"history";"social";;"renaissance";"Venezia (repubblica) - istruzione; XVI"
"VEA0050841";"Concina, Ennio";1977;"Chioggia : saggio di storia urbanistica dalla formazione al 1870";"architecture";"urban";;"middle ages; renaissance; xvii; xviii; xix";"; Urbanistica; CHIOGGIA; CHIOGGIA - Urbanistica - Storia - Origini-Sec. 19.; Urbanistica-scienze urbane; Urbanistica Chioggia"
"VEA0043227";"Romanelli, Giandomenico";1977;"Venezia Ottocento : materiali per una storia architettonica e urbanistica della città nel secolo 19";"architecture";"urban";;"xix";"Architettura. Italia.; ARCHITETTURA - Venezia - Sec. 19.; Architettura - Venezia; Venezia - Storia ; XIX"
"RAV0024694";"catalogo a cura di Elena Bassi ... [et al.";1978;"Venezia nell'età di Canova, 1780-1830 : Venezia, Ala Napoleonica Museo Correr, ottobre-dicembre 1978";"arts";"culture";"catalogue";"xviii; xix";"ARTE. ITALIA; VENEZIA - Vita artistica e culturale - 1780-1830 - Esposizioni - Venezia - 1978; VENEZIA - Esposizioni - 1978; Esposizioni - Venezia - 1978; Arte - Venezia - 1780-1830 - Esposizioni - 1978; Venezia-18. sec; Venezia-19. sec; Canova, Antonio; Esposizioni - Venezia - 1978"
"SBL0319720";"Carile, Antonio";1978;"Per una storia dell'impero latino di Costantinopoli (1204-1261";"history";"empire";;"middle ages";"GRECIA; IMPERO LATINO D'ORIENTE - Storia"
"CFI0507065";"Paolo E. Balboni ... [et al.";1978;"La percezione dell'ambiente : l'esperimento di Venezia";"architecture";"lagoon";;;"Percezione spaziale; Uomo e ambiente - Venezia; Ambiente - Venezia"
"VEA0052364";"Balestrieri, Lucio";1978;"Venezia presente e passato : per una interpretazione ideologica della storia";"history";"myth";;"renaissance; xvii; xviii";"STORIA DI VENEZIA (PROV.); VENEZIA - Storia - Sec. 15.-18.; Venezia-modelli culturali e interpretazioni; Venezia - Economia - Sec. 15.-17.; ECONOMIA - Venezia - Sec. 15.-18."
"PUV0869968";"Lauritzen, Peter";1978;"Palaces of Venice";"architecture";"palaces";;;"VENEZIA - Palazzi; Architettura - Venezia"
"SBL0292433";"Bernardello, Adolfo";1979;"Venezia 1848-49 : la rivoluzione e la difesa";"history";1848;;"xix";"VENEZIA (PROV.); VENEZIA - Storia - 1848-1849; Venezia - Storia ; XIX"
"VIA0083922";;1979;"Atti dei convegni 1978 : Scuola grande di San Teodoro";"history";"churches";;;
"CFI0479456";;1979;"Difesa della sanità a Venezia, secoli 13.-19. : mostra documentaria, 23 giugno-30 settembre 1979";"history";"government; health";"catalogue";"middle ages; renaissance; xvii; xviii; xix";"DIRITTO. VENEZIA. SANITA PUBBLICA; VENEZIA - Sanità pubblica - Sec. 13.-19. - Fonti archivistiche - Esposizioni - Venezia - 1979"
"PUV0178832";"Comune di Venezia, Assessorato alla cultura e belle arti";1979;"Venezia e la peste : 1348-1797";"history";"government; health; social";"catalogue";"renaissance; xvii; xviii";"VENEZIA (PROV.); PESTE - Venezia - Sec. 14.-18. - Esposizioni - Venezia - 1979; PESTE - Sec. 14.-18. - Esposizioni - Venezia - 1979; Esposizioni - Venezia - 1980; Pestilenze; Venezia-pestilenze; Venezia; Peste"
"VEA1095204";"Ginsborg, Paul";1979;"Daniele Manin and the Venetian Revolution of 1848-49";"history";"individuals; 1848";;"xix";"STORIA DELL'ITALIA NORD-ORIENTALE; Manin, Daniele - Biografie"
"PUV0516471";"Bussolaro, Nico";1979;"Streghe a Venezia";"history";"social";;;"STREGHE; VENEZIA - Storia; Venezia - Storia"
"RAV0145767";"Vecchi, Maurizia";1979;"Torcello : ricerche e contributi";"architecture";"urban";;;"EDIFICI PER IL CULTO; TORCELLO <VENEZIA> - Chiese; Torcello; Torcello"
"RAV0050980";"Fondazione scientifica Querini Stampalia";1979;"Catalogo della pinacoteca della Fondazione scientifica Querini Stampalia";"arts";"painting";"catalogue";;"Gallerie, musei, collezioni private di belle arti e arti decorative. Venez ia; FONDAZIONE SCIENTIFICA QUERINI STAMPALIA - Cataloghi; COLLEZIONI D'ARTE - Venezia - Fondazione scientifica Querini Stampalia; FONDAZIONE SCIENTIFICA QUERINI STAMPALIA - Collezioni d'arte - Cataloghi; Venezia - Galleria della Fondazione scientifica Querini Stampalia; Collezioni - Venezia - Fondazione Scientifica Querini Stampalia; Venezia - Fondazione Scientifica Querini Stampalia - Collezioni d'arte"
"FER0079570";;1980;"Arti e mestieri nella Repubblica di Venezia";"history";"crafts; guilds";"catalogue";;"STORIA DI VENEZIA (PROV.); VENEZIA - Corporazioni - Esposizioni - Venezia - 1980; CORPORAZIONI; VENEZIA - Esposizioni - 1980"
"PUV0516481";"Morris, Jan";1980;"The Venetian Empire : a sea voyage";"history";"empire; maritime";;"middle ages; renaissance; xvii; xviii";"Colonie veneziane - Descrizione e viaggi - Sec. 13.-18.; Venezia <Repubblica> - Sec. 13.-18.; Venezia - Storia"
"VEA0048423";"Tabacco, Giovanni";1980;"Andrea Tron e la crisi dell'aristocrazia senatoria a Venezia";"history";"individuals; elites";;"xviii";"STORIA DI VENEZIA (PROV.); TRON, ANDREA; QUERINI, ANDREA; VENEZIA <REPUBBLICA> - Senato; Venezia - Storia - Sec. 18.; TRON, ANDREA; QUERINI, ANDREA; Tron, Andrea; Aristocrazia - Venezia(Repubblica) ; XV-XVII"
"VEA0115668";"Crovato, Giorgio";1980;"Barche della laguna veneta";"history";"maritime; lagoon";;;"INGEGNERIA NAVALE E SCIENZA NAUTICA. NAVIGLIO. Venezia; IMBARCAZIONI - Laguna di Venezia; IMBARCAZIONI; Laguna-Veneto; Venezia - barche"
"TO00344386";"Haitsma Mulier, Eco Oste Gaspard";1980;"The myth of Venice and Dutch republican thought in the seventeenth century";"history";"myth";;"xvii";"Venezia (Repubblica) - Influenza politica sull'Olanda - Sec. 17.; Venezia - Storia; Venezia(Repubblica) - Influssi [sulla] Politica olandese ; XVII"
"TO00311142";"Finlay, Robert";1980;"Politics in renaissance Venice";"history";"politics";;"renaissance";"Venezia - Rinascimento; Venezia - Politica e governo - Sec. 16."
"SBL0311977";"Logan, Oliver";1980;"Venezia : cultura e societa";"history";"social; culture";;"renaissance; xvii; xviii";"VENEZIA (PROV.); VENEZIA - Vita artistica e culturale - 1470-1790; VENEZIA - Vita sociale - 1470-1790; VENEZIA - Storia; VITA ARTISTICA E CULTURALE - Sec. 15.-18.; VITA SOCIALE - Sec. 15.-18.; VENEZIA <REPUBBLICA> - Vita artistica e culturale - Sec. 15.-18.; VENEZIA <REPUBBLICA> - Civilta - Sec. 15.-18.; Venezia-16. sec; Venezia-15. sec; Venezia-18. sec; Venezia-17. sec; Venezia (repubblica) - cultura - societa`; XV-XVIII"
"RAV0002005";;1980;"Architettura e utopia nella Venezia del Cinquecento : Venezia, Palazzo Ducale, luglio-ottobre 1980";"architecture";"palaces";"catalogue";"renaissance";"Architettura. Italia.; ARCHITETTURA - Venezia - Sec. 16. - Esposizioni - Venezia - 1980; PALLADIO, ANDREA - Esposizione - Venezia - 1980; Architettura - Venezia - Sec. 16. - Esposizioni - 1980; Venezia <Repubblica> - Vita artistica e culturale - Sec. 16. - Esposizioni - 1980"
"RAV0051617";"Alverà Bortolotto, Angelica";1981;"Storia della ceramica a Venezia : dagli albori alla fine della Repubblica";"arts";"crafts";;"middle ages; renaissance; xvii; xviii";"CERAMICHE; CERAMICA - Tecnica; VENEZIA - Storia; CERAMICHE VENEZIANE - Sec. 14.-18.; Ceramiche - Venezia - Storia"
"RAV0173007";"Brunello, Franco";1981;"Arti e mestieri a Venezia nel Medioevo e nel Rinascimento";"arts";"crafts; guilds";;"middle ages; renaissance";"ARTI MINORI; Venezia; ARTI; MESTIERI; ARTI MINORI - Venezia - Sec. 13.-16.; VENEZIA - Corporazioni - Sec. 13.-16.; Artigianato - Venezia - Medioevo; Artigianato - Venezia - Rinascimento; Mestieri - Venezia - Medioevo; Mestieri - Venezia - Rinascimento; Artigianato - Venezia ; XIII-XVI"
"LO10351825";"1: Actes du Congrès de l'Ateneo Veneto : 13-15 octobre 1979";1981;"Voyageurs étrangers à Venezia";"history";"literature";;;"VENEZIA NELLA LETTERATURA; Viaggiatori - Venezia - Congressi; Viaggiatori - Venezia"
"SBL0630758";;1981;"La pesca nella laguna di Venezia : antologia storica di testi sulla pesca nella laguna, sulla sua legislazione, sul popolo, la lingua e il lavoro dei pescatori, sui pesci e sulla cucina";"history";"maritime; lagoon";;;"PESCA; PESCA - Laguna di Venezia; Pesca - Storia - Laguna di Venezia"
"RAV0024678";"Pallucchini, Rodolfo";1981;"Da Tiziano a El Greco: per la storia del Manierismo a Venezia, 1540-1590 : Palazzo Ducale, settembre-dicembre 1981";"arts";"painting";"catalogue";"renaissance";"PITTURA. VENEZIA (PROV.); Tiziano; PITTURA - Sec. 16.-17. - Esposizioni - Venezia - 1981; Tiziano - Esposizioni - Venezia - 1981; PITTURA - Sec. 16.-17.; TIZIANO - Esposizioni - Venezia - 1981; VENEZIA - Esposizioni - 1981; Esposizioni - Venezia - 1981; Pittura - Sec. 16.-17.; Arte - Venezia; XVI"
"RAV0024686";"Pallucchini, Rodolfo";1981;"La pittura veneziana del Seicento";"arts";"painting";;"xvii";"Venezia - Pittura - Sec. 17; Arte - Venezia; XVII"
