"","age_category","author","availability","core","id","in_degree","is_cited","is_citing","lb","out_degree","place","publ_country","publ_language","title","type_category","year","topicality_final","topicality","bridging_final","community_max"
"BRI0025429","2.0","Levi, Cesare Augusto","18","True","10057","14","True","False","False","0","Venezia","IT","ita","Notizie storiche di alcune antiche scuole d'arti e mestieri scomparse o esistenti ancora in Venezia","3.0","1895.0","0.375","0.875","0.18541666666666667","history"
"BRI0025713","2.0","Borgherini Scarabellin, Maria","13","True","22855","12","True","False","False","0","Venezia","IT","ita","Il magistrato dei cinque savi alla mercanzia dalla istituzione alla caduta della Repubblica : studio storico su documenti d'archivio","3.0","1925.0","0.03448275862068961","1.0","-0.5862068965517241","history"
"BVE0001674","3.0","Grendler, Paul F","28","True","7419","11","True","False","False","0","Baltimore","US","eng","Schooling in Renaissance Italy : literacy and learning, 1300-1600","3.0","1989.0","0.08695652173913049","1.0","-0.3013285024154589","history"
"BVE0002087","3.0","Goffen, Rona","21","True","15046","20","True","True","True","130","New Haven","US","eng","Piety and patronage in Renaissance Venice : Bellini, Titian and the Franciscans","3.0","1986.0","-0.358974358974359","0.3333333333333333","0.3538461538461538","architecture"
"BVE0005002","3.0","Caniato, Giovanni","37","True","37206","23","True","False","False","0","Roma","IT","ita","Le arti edili a Venezia","3.0","1990.0","-0.35345666991236613","0.569620253164557","0.3658714703018501","architecture"
"BVE0006593","3.0","a cura di Giorgio Busetto, Madile Gambier","58","True","27223","10","True","True","True","206","Venezia","IT","ita","I Querini Stampalia : un ritratto di famiglia nel settecento veneziano","3.0","1987.0","0.0892857142857143","0.7142857142857143","-0.0535714285714286","arts"
"BVE0051905","3.0","Viggiano, Alfredo","48","True","7953","14","True","True","True","113","Treviso","IT","ita","Governanti e governati : legittimità del potere ed esercizio dell'autorità sovrana nello Stato veneto della prima età moderna","3.0","1993.0","0.21739130434782605","1.0","-0.5253623188405797","history"
"BVE0076240","1.0","Sanudo, Marino","16","True","25315","12","True","False","False","0","Bologna","IT","ita","I diarii","1.0","","0.17604355716878406","0.9655172413793104","-0.23593466424682397","history"
"BVE0091608","3.0","Distefano, Giovanni","83","True","36911","10","True","False","False","0","Venezia","IT","ita","Storia di Venezia, 1797-1997","3.0","","-0.007352941176470562","0.875","-0.5036764705882353","history"
"BVE0192209","3.0","Hocquet, Jean-Claude","1","True","3182","10","True","False","False","0","Lille","FR","fre","Le sel et la fortune de Venise","3.0","1979.0","0.0","1.0","-0.47619047619047616","history"
"BVE0193041","3.0","Howard, Deborah","7","True","28287","12","True","True","True","86","London","GB","eng","The architectural history of Venice","3.0","1980.0","-0.4","0.6","0.23888888888888887","arts"
"BVE0258000","3.0","Braunstein, Philippe","1","True","14329","25","True","False","False","0","Paris","FR","fre","Venise : portrait historique d'une cité","3.0","1982.0","0.18641804788213634","0.9447513812154696","-0.20877071823204418","history"
"BVE0280461","3.0","Davis, James Cushman","3","True","17532","12","True","False","False","0","Roma","IT","ita","Una famiglia veneziana e la conservazione della ricchezza : i Donà dal '500 al '900","3.0","1980.0","0.24125874125874136","0.9230769230769231","-0.6538461538461539","history"
"BVE0285935","3.0","Logan, Oliver","7","True","26979","19","True","False","False","0","Roma","IT","ita","Venezia : cultura e società, 1470-1790","3.0","1980.0","-0.3772727272727273","0.509090909090909","0.6227272727272726","arts"
"BVE0592559","3.0","Morando di Custoza, Eugenio","2","True","35761","11","True","False","False","0","Verona","IT","ita","Libro d'arme di Venezia","1.0","1979.0","-0.3405172413793104","0.625","0.33728448275862066","architecture"
"BVE0629361","3.0","Pallucchini, Rodolfo","2","True","28935","26","True","False","False","0","Venezia","IT","ita","La pittura veneziana del Settecento","3.0","1960.0","-0.16068556214986962","0.7520661157024794","0.3865993676853957","arts"
"BVE0664292","3.0","Tamassia Mazzarotto, Bianca","1","True","26488","25","True","False","False","0","Firenze","IT","ita","Le feste veneziane : i giuochi popolari, le cerimonie religiose e di governo","3.0","1961.0","0.08901452167165502","0.6804123711340206","-0.04506152311273692","history"
"BVE0705965","3.0","a cura di] Giandomenico Romanelli, Susanna Biadene","1","True","11584","12","True","False","False","0","Venezia","IT","ita","Venezia: piante e vedute : catalogo del fondo cartografico a stampa","2.0","1982.0","-0.06222222222222218","0.7777777777777778","-0.09777777777777774","architecture"
"CAG0567157","3.0","Dorigo, Wladimiro","146","True","10055","14","True","False","False","0","Venezia","IT","ita","Venezia romanica : la formazione della città medioevale fino all'età gotica","3.0","2003.0","-0.11666666666666659","0.5833333333333334","-0.2861111111111112","architecture"
"CAG0716652","2.0","Vecellio, Cesare","4","True","780","15","True","False","False","0","Paris","FR","ita","Habiti antichi et moderni di tutto il mondo","1.0","1860.0","0.12039312039312045","0.7567567567567568","-0.1113841113841113","history"
"CFI0002093","3.0","Bellavitis, Giorgio","59","True","29202","19","True","True","True","80","Venezia","IT","ita","L'arsenale di Venezia : storia di una grande struttura urbana","3.0","1983.0","0.2371428571428571","0.88","-0.2796428571428571","history"
"CFI0004105","3.0","Martini, Egidio","40","True","7022","15","True","False","False","0","Udine","IT","ita","La pittura del Settecento veneto","3.0","1982.0","-0.043243243243243246","0.7567567567567568","0.21891891891891901","arts"
"CFI0004830","3.0","McAndrew, John","85","True","27406","15","True","True","True","370","Venezia","IT","ita","L'architettura veneziana del primo Rinascimento","3.0","1983.0","0.4125615763546798","0.9482758620689655","-0.6483990147783252","architecture"
"CFI0005524","3.0","Romanin, Samuele","1","True","14090","12","True","False","False","0","Venezia","IT","ita","Storia documentata di Venezia","3.0","1972.0","0.2857142857142857","1.0","-0.8285714285714286","history"
"CFI0008730","3.0","Marangoni, Giovanni","25","True","35918","36","True","True","True","60","Venezia","IT","ita","Le associazioni di mestiere nella Repubblica veneta : vittuaria, farmacia, medicina","3.0","1974.0","0.29409951291694925","0.9063444108761329","-0.27027714409026454","history"
"CFI0012931","3.0","","605","True","37122","29","True","False","False","0","Roma","IT","ita","Dizionario biografico degli italiani","2.0","","-0.3126472898664572","0.582089552238806","0.4827616304442699","history"
"CFI0013672","3.0","Concina, Ennio","63","True","3728","25","True","False","False","0","Milano","IT","ita","L'arsenale della Repubblica di Venezia","3.0","1984.0","0.27203947368421055","0.95625","-0.27785087719298246","history"
"CFI0015451","3.0","Corboz, André","66","True","10409","17","True","False","False","0","Venezia","IT","ita","Canaletto : una Venezia immaginaria","3.0","1985.0","0.19478908188585609","0.8870967741935484","-0.19168734491315131","arts"
"CFI0016171","3.0","","223","True","8575","16","True","False","False","0","Vicenza","IT","ita","Storia della cultura veneta","3.0","1976.0","0.24773755656108598","0.8653846153846154","-0.34615384615384615","history"
"CFI0016927","3.0","a cura di Gaetano Cozzi","147","True","289","21","True","False","False","0","Roma","IT","ita","Stato, società e giustizia nella Repubblica veneta, sec. 15.-18","3.0","1981.0","0.5319936541512427","0.9836065573770492","-0.26163405605499734","history"
"CFI0017156","3.0","Rapp, Richard Tilden","94","True","5713","13","True","True","True","58","Roma","IT","ita","Industria e decadenza economica a Venezia nel 17. secolo","3.0","1986.0","0.30472350230414746","0.9821428571428571","-0.5455069124423964","history"
"CFI0021094","3.0","Cessi, Roberto","98","True","2371","33","True","False","True","0","Firenze","IT","ita","Storia della Repubblica di Venezia","3.0","1981.0","0.25326291507315","0.9550173010380623","-0.3728626641575103","history"
"CFI0025015","3.0","a cura di Gisella Graziato","29","True","19959","10","True","True","True","25","Venezia","IT","lat","Le promissioni del Doge di Venezia : dalle origini alla fine del Duecento","1.0","1986.0","0.375","1.0","-0.84375","history"
"CFI0027655","3.0","Zorzi, Alvise","45","True","4978","39","True","True","True","87","Milano","IT","ita","Venezia scomparsa","3.0","1984.0","-0.18064312736443888","0.6270491803278688","0.38812621804425085","architecture"
"CFI0028765","3.0","Del Torre, Giuseppe","46","True","14606","17","True","False","False","0","Milano","IT","ita","Venezia e la terraferma dopo la guerra di Cambrai : fiscalità e amministrazione 1515-1530","3.0","1986.0","0.36363636363636365","1.0","-0.9164169164169164","history"
"CFI0030826","3.0","","116","True","3307","15","True","False","False","0","Venezia","IT","lat","Codex publicorum (codice del Piovego","1.0","1985.0","0.05882352941176472","0.8823529411764706","-0.35784313725490197","history"
"CFI0032658","3.0","Museo Correr","122","True","12681","13","True","False","False","0","Vicenza","IT","ita","Disegni antichi del Museo Correr di Venezia","3.0","","-0.02777777777777779","0.75","0.22619047619047628","arts"
"CFI0032963","3.0","Venturi, Franco","495","True","10327","11","True","False","False","0","Torino","IT","ita","Settecento riformatore","3.0","","0.11764705882352944","1.0","-0.6764705882352942","history"
"CFI0036995","3.0","Cozzi, Gaetano","44","True","12845","29","True","False","True","0","Torino","IT","ita","Storia della Repubblica di Venezia : dalla guerra di Chioggia alla riconquista della terraferma","3.0","1986.0","0.43228732759418675","0.9963898916967509","-0.7424943688481594","history"
"CFI0037126","3.0","Zachariadou, Elizabeth A","12","True","30146","10","True","False","False","0","Venice","IT","eng","Trade and crusade : Venetian Crete and the emirates of Menteshe and Aydin, 1300-1415","3.0","1983.0","0.0625","1.0","-0.5625","history"
"CFI0039008","3.0","Franzoi, Umberto","29","True","25550","11","True","False","False","0","Venezia","IT","ita","Storia e leggenda del Palazzo ducale di Venezia","3.0","1982.0","-0.0892857142857143","0.625","0.5997023809523809","history"
"CFI0052561","3.0","Pizzarello, Ugo","55","True","4647","11","True","False","False","0","Venezia","IT","ita","Guida alla città di Venezia","2.0","","-0.07954545454545459","0.875","0.12310606060606066","architecture"
"CFI0052791","3.0","Rizzi, Alberto","161","True","36592","26","True","False","False","0","Venezia","IT","ita","Scultura esterna a Venezia : corpus delle sculture erratiche all'aperto di Venezia e della sua laguna","2.0","1987.0","0.24122807017543868","0.8333333333333334","-0.15162907268170422","architecture"
"CFI0072779","3.0","Calabi, Donatella","129","True","738","34","True","False","False","0","Torino","IT","ita","Rialto: le fabbriche e il ponte, 1514-1591","3.0","1987.0","-0.19726882559500591","0.6181818181818182","0.09903433476394852","architecture"
"CFI0076030","3.0","a cura di Francesca Cavazzana Romanelli, Emanuela Casti Moreschi","163","True","11443","12","True","False","False","0","Venezia","IT","ita","Laguna, lidi, fiumi : esempi di cartografia storica commentata","2.0","1984.0","0.0","0.84","0.09999999999999998","history"
"CFI0078558","3.0","Brown, Patricia Fortini","20","True","23316","30","True","True","True","146","New Haven \ecc","GB","eng","Venetian narrative painting in the age of Carpaccio","3.0","1988.0","-0.3767007558915073","0.5076923076923077","0.40546909737661185","history"
"CFI0078768","3.0","Gullino, Giuseppe","35","True","26693","12","True","False","False","0","Roma","IT","ita","I Pisani Dal Banco e Moretta : storia di due famiglie veneziane in età moderna e delle loro vicende patrimoniali tra 1705 e 1836","3.0","1984.0","0.13297297297297306","0.972972972972973","-0.30810810810810807","history"
"CFI0080161","3.0","Muir, Edward","112","True","10450","28","True","False","False","0","Roma","IT","ita","Il rituale civico a Venezia nel Rinascimento","3.0","1984.0","0.03770509156345925","0.9829787234042553","-0.28055467344130414","history"
"CFI0084248","3.0","Ruggiero, Guido","26","True","33171","17","True","True","True","38","New York","US","eng","The boundaries of eros : sex crime and sexuality in Renaissance Venice","3.0","1985.0","0.25","1.0","-0.85","history"
"CFI0089586","3.0","Barizza, Sergio","105","True","3351","10","True","False","False","0","Venezia","IT","ita","Il Comune di Venezia 1806-1946 : l'istituzione, il territorio, guida-inventario dell'Archivio municipale","3.0","1987.0","-0.1607142857142857","0.7142857142857143","-0.1160714285714286","history"
"CFI0090291","3.0","Calimani, Riccardo","121","True","30925","12","True","False","False","0","Milano","IT","ita","Storia del ghetto di Venezia","3.0","1985.0","0.005287896592244379","0.9782608695652174","-0.336662749706228","history"
"CFI0093399","3.0","","49","True","7918","12","True","False","False","0","Venezia","IT","ita","I mestieri della moda a Venezia dal 13. al 18. secolo : Ala napoleonica e Museo Correr, Venezia giugno-settembre 1988","2.0","1988.0","-0.1098039215686275","0.8235294117647058","-0.26274509803921564","history"
"CFI0102001","3.0","King, Margaret L","26","True","7566","10","True","True","True","136","Princeton, N. J","US","eng","Venetian humanism in an age of patrician dominance","3.0","1986.0","0.16806722689075626","0.8823529411764706","-0.28361344537815136","history"
"CFI0102496","3.0","Tafuri, Manfredo","178","True","36153","44","True","False","False","0","Torino","IT","ita","Venezia e il Rinascimento : religione, scienza, architettura","3.0","1985.0","-0.07258064516129037","0.6774193548387096","0.12263824884792618","architecture"
"CFI0106973","3.0","Rompiasio, Giulio","149","True","12995","12","True","False","False","0","Venezia","IT","ita","Metodo in pratica di sommario o sia Compilazione delle leggi, terminazioni & ordini appartenenti agl'illustrissimi & eccellentissimi collegio e magistrato alle acque opera dell'avvocato fiscale Giulio Rompiasio : in Venezia 1733","1.0","1988.0","0.012743628185907019","0.9782608695652174","-0.17916041979010497","history"
"CFI0111639","3.0","Queller, Donald E","245","True","24629","12","True","True","True","172","Roma","IT","ita","Il patriziato veneziano : la realtà contro il mito","3.0","1987.0","0.2586872586872587","0.972972972972973","-0.7567567567567568","history"
"CFI0126589","3.0","Romano, Dennis","19","True","28969","33","True","False","True","0","Baltimore [ecc","US","eng","Patricians and popolani : the social foundations of the Venetian Renaissance State","3.0","1987.0","0.18380368098159516","0.92","-0.37118795315114333","history"
"CFI0126673","3.0","Fees, Irmgard","14","True","4712","22","True","True","True","121","Tübingen","DE","ger","Reichtum und Macht im mittelalterlichen Venedig : die Familie Ziani","3.0","1988.0","0.12634221168595738","0.900990099009901","-0.08757495467856641","history"
"CFI0128593","3.0","Concina, Ennio","66","True","27799","14","True","False","False","0","Venezia","IT","ita","Pietre, parole, storia : glossario della costruzione nelle fonti veneziane, secoli 15.-18","3.0","1988.0","-0.20085470085470092","0.5769230769230769","0.2222222222222222","architecture"
"CFI0145444","3.0","catalogo a cura di Marino Zorzi","44","True","31737","12","True","True","True","180","Roma","IT","ita","Collezioni di antichità a Venezia nei secoli della Repubblica: dai libri e documenti della Biblioteca Marciana : mostra, 27 maggio-31 luglio 1988","3.0","1988.0","-0.2586872586872587","0.7142857142857143","0.6795366795366795","arts"
"CFI0172718","3.0","Favaretto, Irene","40","True","17613","12","True","True","True","228","Roma","IT","ita","Arte antica e cultura antiquaria nelle collezioni venete al tempo della Serenissima","3.0","1990.0","0.44665718349928885","0.972972972972973","-0.6870554765291608","arts"
"CFI0180287","3.0","Nicol, Donald M","91","True","25202","10","True","False","False","0","Milano","IT","ita","Venezia e Bisanzio","3.0","1990.0","0.045454545454545414","1.0","-0.6363636363636364","history"
"CFI0184114","3.0","Zorzi, Alvise","109","True","31906","10","True","False","False","0","Milano","IT","ita","La vita quotidiana a Venezia nel secolo di Tiziano","3.0","1990.0","0.017045454545454586","0.9545454545454546","-0.3068181818181818","history"
"CFI0185568","3.0","Hocquet, Jean-Claude","46","True","28681","11","True","True","True","388","Roma","IT","ita","Il sale e la fortuna di Venezia","3.0","1990.0","0.09051724137931039","0.9655172413793104","-0.3017241379310345","history"
"CFI0197133","3.0","Palazzo ducale","16","True","10894","16","True","False","False","0","Dosson","IT","ita","L'armeria del Palazzo ducale a Venezia","3.0","1990.0","-0.36742756804214216","0.6176470588235294","0.5814310798946445","arts"
"CFI0199032","3.0","Romanelli, Giandomenico","103","True","23831","20","True","True","True","170","S. l.","IT","ita","Venezia Ottocento : l'architettura, l'urbanistica","3.0","1988.0","-0.22782608695652173","0.6521739130434783","0.3034782608695652","history"
"CFI0200822","3.0","Zamperetti, Sergio","35","True","26581","13","True","True","True","109","Venezia","IT","ita","I piccoli principi : signorie locali, feudi e comunità soggette nello Stato regionale veneto dall'espansione territoriale ai primi decenni del '600","3.0","1991.0","0.375","1.0","-1.0549242424242424","history"
"CFI0207527","3.0","Infelise, Mario","108","True","24907","17","True","False","False","0","Milano","IT","ita","L'editoria veneziana nel '700","3.0","1989.0","0.5142857142857142","0.9428571428571428","-0.4","history"
"CFI0210723","3.0","Agazzi, Michela","36","True","13662","14","True","False","False","0","Venezia","IT","ita","Platea Sancti Marci : i luoghi marciani dall'11. al 13. secolo e la formazione della piazza","3.0","1991.0","0.3486842105263158","0.875","-0.4391447368421053","architecture"
"CFI0226576","3.0","Perocco, Guido","162","True","14206","18","True","False","False","0","Venezia","IT","ita","Civiltà di Venezia","3.0","","-0.47204968944099385","0.45652173913043476","0.6809006211180124","architecture"
"CFI0288350","3.0","Molà, Luca","50","True","35012","16","True","True","True","81","Venezia","IT","ita","La comunità dei lucchesi a Venezia : immigrazione e industria della seta nel tardo Medioevo","3.0","1994.0","0.014066496163682829","0.9705882352941176","-0.1973572037510657","history"
"CFI0493180","2.0","Dandolo, Andrea","2","True","6073","12","True","False","False","0","Bologna","IT","lat","Chronica per extensum descripta","1.0","1943.0","0.06349206349206349","0.7777777777777778","-0.14814814814814814","history"
"CSA0006215","3.0","Ostrogorsky, Georg","7","True","16857","15","True","False","False","0","Torino","IT","ita","Storia dell'impero bizantino","3.0","1968.0","0.125","0.9821428571428571","-0.16369047619047616","history"
"CUB0076189","2.0","Bassi, Elena","13","True","2287","12","True","False","False","0","Firenze","IT","ita","La R. Accademia di belle arti di Venezia","3.0","1941.0","0.08552631578947367","0.875","-0.03837719298245612","arts"
"CUB0124695","2.0","Bonfanti, Sicinio","14","True","11984","15","True","False","False","0","Venezia","IT","ita","La Giudecca nella storia, nell'arte, nella vita","3.0","1930.0","0.20065789473684215","0.9375","-0.0783991228070175","architecture"
"CUB0182329","3.0","Cessi, Roberto","1","True","37043","23","True","False","False","0","Milano Messina, G. Principato","IT","ita","Storia della Repubblica di Venezia","3.0","1944.0","0.1435574229691876","0.9523809523809523","-0.621031746031746","history"
"CUB0225844","2.0","Da Mosto, Andrea","30","True","1967","26","True","True","True","60","Venezia","IT","ita","I dogi di Venezia con particolare riguardo alle loro tombe","3.0","1939.0","-0.028017241379310387","0.7844827586206896","0.029710591133005004","history"
"CUB0244796","2.0","raccolti dal dott. Giuseppe Bettanini","2","True","30946","17","True","False","False","0","Venezia","IT","ita","Documenti per servire alla storia della scuola nautica in Venezia","1.0","1894.0","-0.39848197343453506","0.4838709677419355","0.6445287792536369","architecture"
"CUB0252241","2.0","","10","True","22485","12","True","False","False","0","Venezia","IT","ita","Elenco degli oggetti esposti [nel! Museo civico e Raccolta Correr in Venezia","2.0","1899.0","-0.09333333333333338","0.84","0.16999999999999993","arts"
"CUB0275812","3.0","a cura di Manlio Dazzi. 1.: Dal Duecento al Cinquecento. [vol.] 2.: Seicento e Settecento","3","True","9702","10","True","False","False","0","Venezia","IT","ita","Il fiore della lirica veneziana","3.0","1956.0","0.5384615384615384","1.0","-0.9230769230769231","history"
"CUB0281176","2.0","Fogolari, Gino","12","True","36931","13","True","False","False","0","Milano","IT","ita","Chiese veneziane : i Frari e i Ss. Giovanni e Paolo","3.0","1931.0","-0.32352941176470584","0.5","-0.061764705882352944","architecture"
"CUB0318314","2.0","Gobbato, Ferdinando","1","True","12816","10","True","False","False","0","Venezia","IT","ita","Nuovissima guida pratica di Venezia e delle Sue isole","2.0","1909.0","0.3545454545454546","0.9545454545454546","-0.8318181818181818","architecture"
"CUB0371801","2.0","a cura di] Franco Borlandi","29","True","20047","12","True","False","False","0","Torino","IT","ita","El libro di mercatantie et usanze de' paesi","1.0","1936.0","0.03448275862068961","1.0","-0.46551724137931033","history"
"CUB0379431","2.0","Longhi, Roberto","6","True","32163","24","True","False","False","0","Firenze","IT","ita","Viatico per cinque secoli di pittura veneziana","3.0","1946.0","0.48263736263736257","0.9771428571428571","-0.596043956043956","arts"
"CUB0390274","2.0","Malagola, Carlo","22","True","19749","10","True","False","False","0","Venise","IT","fre","Le Lido de Venise a travers l'histoire","3.0","1909.0","0.017045454545454586","0.9545454545454546","-0.4943181818181818","history"
"CUB0423792","2.0","Paoletti, Pietro","2","True","19192","85","True","False","False","0","Venezia","IT","ita","L'architettura e la scultura del Rinascimento in Venezia","3.0","1893.0","0.07535750189778634","0.8632362897765742","-0.13682970531311767","architecture"
"CUB0424594","2.0","Papadopoli Aldobrandini, Nicolò","4","True","10186","29","True","False","False","0","Venezia","IT","ita","Le monete di Venezia","3.0","1893.0","0.11143617021276597","0.9625","-0.3385638297872341","history"
"CUB0428049","2.0","Paschini, Pio","43","True","21294","12","True","False","False","0","Roma","IT","ita","Domenico Grimani, cardinale di s. Marco (1523","3.0","1943.0","0.0","0.7894736842105263","0.10526315789473684","arts"
"CUB0457396","3.0","Miozzi, Eugenio","2","True","10134","10","True","False","False","0","Venezia","IT","ita","Venezia nei secoli : La Città. Vol. I-II","3.0","1957.0","0.40909090909090906","0.9090909090909091","-0.06060606060606066","architecture"
"CUB0460914","2.0","Molmenti, Pompeo","4","True","16281","87","True","False","False","0","Bergamo","IT","ita","La storia di Venezia nella vita privata dalle origini alla caduta della Repubblica","3.0","1927.0","0.04649592274315806","0.7704918032786885","0.043345398597825935","history"
"CUB0477363","2.0","Nani Mocenigo, Filippo","7","True","20641","12","True","False","False","0","Venezia","IT","ita","Della letteratura veneziana del secolo 19. : Notizie ed appunti","3.0","","-0.23122529644268774","0.6818181818181818","0.4347826086956522","arts"
"CUB0558215","2.0","Romanin, Samuele","1","True","7222","19","True","False","False","0","Venezia","IT","ita","Storia documentata di Venezia","3.0","1912.0","0.10952380952380947","0.9428571428571428","-0.12116402116402114","history"
"CUB0569528","3.0","Sabellico, Marco Antonio","8","True","34218","20","True","False","False","0","Venezia","IT","ita","Del sito di Venezia città : 1502","3.0","1957.0","-0.1408045977011494","0.7758620689655172","0.24952107279693492","architecture"
"CUB0624067","3.0","Tabacco, Giovanni","27","True","3906","13","True","False","False","0","Trieste","IT","ita","Andrea Tron (1712-1785) e la crisi dell'aristocrazia senatoria a Venezia","3.0","1957.0","0.021739130434782594","1.0","-0.4782608695652174","history"
"CUB0632021","2.0","Testi, Laudedeo","5","True","28738","10","True","False","False","0","Bergamo","IT","ita","La storia della pittura veneziana : Parte I. Le origini","3.0","1909.0","0.24242424242424243","0.9090909090909091","-0.2828282828282829","arts"
"CUB0632022","2.0","Testi, Laudedeo","3","True","12450","12","True","False","False","0","Bergamo","IT","ita","La storia della pittura veneziana : Parte II. Il divenire","3.0","1915.0","-0.3136842105263158","0.5263157894736842","0.45684210526315794","arts"
"CUB0649760","2.0","Urbani de Gheltof, Giuseppe Marino","5","True","27502","11","True","False","False","0","Venezia","IT","ita","Guida storico-artistica della scuola di S. Giovanni Evangelista in Venezia","2.0","1895.0","-0.1853146853146853","0.7692307692307693","0.29370629370629364","arts"
"CUB0655227","2.0","Vasari, Giorgio","1","True","33377","16","True","False","False","0","Firenze","IT","ita","Le vite de' più eccellenti pittori, scultori ed architettori","1.0","1885.0","-0.25156445556946183","0.7058823529411765","-0.013141426783479293","arts"
"FER0020205","3.0","Palma, Iacopo","14","True","33365","15","True","False","False","0","Milano","IT","ita","Palma il Giovane : l'opera completa","3.0","1984.0","-0.5850340136054422","0.3333333333333333","0.4948979591836735","architecture"
"FER0020279","3.0","Olivato, Loredana","13","True","33940","19","True","False","False","0","Milano","IT","ita","Mauro Codussi","3.0","1977.0","0.1298076923076923","0.6923076923076923","0.41646634615384615","architecture"
"FER0020304","3.0","Paolo : Veronese","3","True","21997","18","True","False","False","0","Venezia","IT","ita","Veronese","3.0","1976.0","-0.13719512195121952","0.375","0.6634146341463414","history"
"FER0041789","3.0","Benzoni, Gino","4","True","954","17","True","False","False","0","Milano","IT","ita","Venezia nell'eta della controriforma","3.0","1973.0","0.47837091578462954","0.9905660377358491","-1.0170271514035893","history"
"FER0079570","3.0","","32","True","6545","10","True","True","True","110","S.l","IT","ita","Arti e mestieri nella Repubblica di Venezia","3.0","1980.0","0.3295454545454546","0.9545454545454546","-0.3835227272727273","history"
"FER0151898","2.0","studio et opera A. S. Minotto","0","True","28168","10","True","False","False","0","Venetiis","IT","","Acta et diplomata e r. tabulario veneto","1.0","","0.4545454545454546","0.9545454545454546","-0.7651515151515151","history"
"GEA0020161","2.0","Averone, Antonio","31","True","34654","11","True","False","False","0","Mantova","IT","ita","Sull'antica idrografia veneta : saggio","3.0","1911.0","0.059929494712103515","0.972972972972973","-0.5828437132784958","history"
"GEA0022194","2.0","Marzemin, Giuseppe","25","True","26040","11","True","False","False","0","Venezia","IT","ita","Le origini romane di Venezia","3.0","1937.0","-0.2512315270935961","0.7142857142857143","0.0714285714285714","history"
"IEI0005761","3.0","Georgelin, Jean","39","True","33371","40","True","False","False","0","Paris","FR","fre","Venise au siècle des lumières","3.0","1978.0","0.05945434229312807","0.9723756906077348","-0.3814870569247005","history"
"IEI0021828","2.0","Boerio, Giuseppe","3","True","12891","10","True","False","False","0","Venezia","IT","ita","Dizionario del dialetto veneziano","2.0","","0.5","1.0","-0.25","history"
"IEI0024682","2.0","Maylender, Michele","77","True","33051","14","True","False","False","0","Bologna","IT","ita","Storia delle Accademie d'Italia","3.0","1926.0","0.03749999999999998","0.9375","-0.18958333333333327","history"
"IEI0029365","3.0","Gallerie dell'Accademia","4","True","25180","16","True","False","False","0","Roma","IT","ita","Le gallerie dell'Accademia di Venezia","2.0","1970.0","0.004501125281320295","0.4883720930232558","-0.007876969242310516","history"
